Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5, C6, C7",0603,6,100n,
C10,0603,1,0.1u,
C3,0603,1,4u7,C1705
C8,0603,1,1u,
C9,0603,1,10u,
"Ch1_CS1, Ch2_CS1, Ch3_CS1",0603,3,220p,
"Ch1_CS2, Ch2_CS2, Ch3_CS2",0603,3,47n,
"Ch1_CS3, Ch1_CS4, Ch2_CS3, Ch2_CS4, Ch3_CS3, Ch3_CS4",0603,6,470p,
"Ch1_RS1, Ch1_RS2, Ch2_RS1, Ch2_RS2, Ch3_RS1, Ch3_RS2",0603,6,50k,
"Ch1_RS3, Ch1_RS4, Ch2_RS3, Ch2_RS4, Ch3_RS3, Ch3_RS4",0603,6,1k,
"Ch1_RS5, Ch2_RS5, Ch3_RS5",0603,3,120,
"D2, D3, D4, D5, D6, D7",D_SOD-323,6,SD15,C207245
D9,SOD-123F_L2.8-W1.8-LS3.7-RD,1,SMF5.0A,C151296
FB1,L0603,1,100R@100MHz,C107332
J1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05_Pin,
J2,PinHeader_2x05_P2.54mm_Horizontal,1,Conn_02x05_Top_Bottom,
R1,0603,1,180k,
"R10, R2, R5, R6, R7, R8, R9",0603,7,0,
"R11, R3",0603,2,470,
R4,0603,1,10k,
RJ1,RJ45-TH_RC01812,1,RC01812,C708645
RV1,Potentiometer_Bourns_3296P_Horizontal,1,500k,C780107
RV1_TP1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,TestPoint_RV1,
RV1_TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,TestPoint_RV1,
SW1,SW-SMD_XKB_SS-3292S-L2-W,1,SW_RCLK,C2884756
SW2,SW-SMD_MSK13C02-BB,1,SW_SG1,C5149819
SW3,SW-SMD_MSK13C02-BB,1,SW_SG0,C5149819
SW4,SW-SMD_MSK13C02-BB,1,SW_ROT,C5149819
SW5,SW-SMD_MSK13C02-BB,1,SW_SF1,C5149819
SW6,SW-SMD_MSK13C02-BB,1,SW_SF0,C5149819
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,iC-NV,
U2,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,AM26LS31CDR,C6179
U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,AP22652AW6-7,C5329413
U4,SC-70-6_L2.0-W1.3-P0.65-LS2.1-BL,1,LM66100DCKR,C2869734
X2,DSUB-TH_D-SUB-DR-15PCG-AB,1,D-SUB-DR-15PCG-AB,C19077347
